Date,CompanyPostalCode,County,CategoryId,CategoryName,LaborRate,MeanIncome,HousePrice,BCI_County_TimeSeries
12/1/2020,94941,Marin County,117963,paving work,75,246206,246206,7501
12/1/2020,95603,Placer County,117980,exterior siding,60,98616,98616,7059
12/1/2020,90249,Los Angeles County,120073,mechanical,46,82585,82585,6964
12/1/2020,95973,Butte County,119896,fence and gate,50,100204,100204,6836
12/1/2020,94703,Alameda County,130459,exterior painting,60,127085,127085,7281
12/1/2020,94941,Marin County,117957,drywall work,75,246206,246206,7501
12/1/2020,94941,Marin County,117949,interior & exterior painting,75,246206,246206,7501
12/1/2020,94941,Marin County,119416,flooring,75,246206,246206,7501
12/1/2020,92081,San Diego County,119629,fireplace,75,99684,99684,7064
12/1/2020,94941,Marin County,119412,doors & casings,75,246206,246206,7501
12/1/2020,92117,San Diego County,119075,exterior siding,35,109276,109276,7064
12/1/2020,95471,Sonoma County,118323,deck | patio,99,75678,75678,7019
12/1/2020,95973,Butte County,118136,drywall work,50,100204,100204,6836
12/1/2020,94941,Marin County,117961,interior & exterior painting,75,246206,246206,7501
12/1/2020,90220,Los Angeles County,119658,electrical work,40,71566,71566,6964
12/1/2020,94941,Marin County,119334,doors & casings,75,246206,246206,7501
12/1/2020,92653,Orange County,119279,drywall work,50,155769,155769,7217
12/1/2020,92653,Orange County,118828,roofing,50,155769,155769,7217
12/1/2020,94941,Marin County,119421,site preparation & maintenance,75,246206,246206,7501
12/1/2020,94941,Marin County,117956,site preparation & maintenance,75,246206,246206,7501
12/1/2020,94941,Marin County,119426,flooring,75,246206,246206,7501
12/1/2020,94121,San Francisco County,119662,drywall work,85,149569,149569,8306
12/1/2020,94941,Marin County,117950,doors & casings,75,246206,246206,7501
12/1/2020,94941,Marin County,117951,interior and exterior lights,75,246206,246206,7501
12/1/2020,94941,Marin County,117964,water heater,75,246206,246206,7501
12/1/2020,90220,Los Angeles County,119656,plumbing work,40,71566,71566,6964
12/1/2019,92563,Riverside County,93196,fireplace,50,121519,121519,6639
12/1/2019,90220,Los Angeles County,93293,design & permit service,40,71566,71566,6698
12/1/2019,92618,Orange County,93046,window,35,145826,145826,6942
12/1/2019,90230,Los Angeles County,93894,flooring,85,121365,121365,6698
12/1/2019,92806,Orange County,94014,interior & exterior painting,47,98413,98413,6942
12/1/2019,95603,Placer County,94198,electrical work,60,98616,98616,6790
12/1/2019,90606,Los Angeles County,93773,electrical work,35,87908,87908,6698
12/1/2019,90606,Los Angeles County,93629,drywall work,35,87908,87908,6698
12/1/2019,94121,San Francisco County,94238,flooring,88,149569,149569,7990
12/1/2019,90230,Los Angeles County,93035,interior & exterior painting,85,121365,121365,6698
12/1/2019,95603,Placer County,94200,paving work,60,98616,98616,6790
12/1/2019,95240,San Joaquin County,93097,interior painting,65,73487,73487,6670
